metric_id,label,cockpit,section,kind,definition,source_table,timestamp_column,filter,unit,target,differs_from,weakness,status,computed_in,notes
marketing.spend,Ad Spend,marketing,KPI,base,"Total ad spend in the period across all paid platforms (Meta primary).",ad_snapshots,snapshot_date,,$,from cockpit_targets.ad_spend_target,,"Reflects ad_snapshots cron — may lag live Meta by up to 24h. UTM attribution pre-2026-03-30 unreliable.",live,TBD,Pulled by ad-snapshot cron daily 06:00 UTC.
marketing.leads,Leads,marketing,KPI,base,"Total leads in the period — every Typeform application that produced a leads row.",leads,typeform_submitted_at,,#,,,"Currently bucketed by created_at in code (Phase 2 migration fixes to typeform_submitted_at per lessons 2026-04-21). 1000-row cap bug currently truncates display.",live,TBD,
marketing.leads_qualified,Qualified Leads,marketing,KPI,base,"Leads meeting qualification criteria (income, fitness goal, decision-maker etc).",leads,typeform_submitted_at,qualified=true,#,,marketing.leads::qualified is a subset filter on the same lead population,"Qualification rule definition lives in lib/marketing/qualification.ts — changes there change historical comparisons.",live,TBD,
marketing.leads_booked,Leads Booked (by signup date),marketing,KPI,base,"Leads that booked a call — counts leads.booked=true bucketed by the date the lead signed up (Typeform submission).",leads,typeform_submitted_at,booked=true,#,,"sales.calls_scheduled::Sales > Calls Scheduled buckets by call_date (when the call is FOR) and dedupes on (lead_id, call_date) and excludes reschedules. This buckets by signup date. A lead that signed up May 28 with a call scheduled June 3 is in May here, June there. Different stages of the funnel.","Retro-set rule: leads.booked is also flipped to true if a lead shows or closes (lib/leads/stage.ts:35). Includes direct-DM closes that never went through GHL booking flow.",live,TBD,Was 'Booked' — renamed 2026-05-19 to eliminate same-label divergence with sales cockpit.
marketing.leads_paid,Paid Leads,marketing,KPI,base,"Leads from paid traffic sources (Meta etc).",leads,typeform_submitted_at,is_paid=true,#,,,"is_paid derivation in lib/utils.ts:isPaidTraffic() — UTM-source-based.",live,TBD,
marketing.eod_showed,Showed,marketing,Funnel,base,"Closer EOD entries with status=showed in period (deduped on lead_id+call_date).",closer_eod_entries,call_date,status='showed',#,,sales.calls_taken::Same underlying query. Aligned to deduped form 2026-05-19 (was un-deduped on marketing side previously).,"Sales side dedupes; marketing was un-deduped pre-Phase-2 — for current MTD window the values matched (no dupes) but historical periods may differ.",live,TBD,
marketing.cost_per_lead,Cost Per Lead,marketing,KPI,derived,"Total ad spend divided by total leads in the period.",NULL,NULL,marketing.spend / marketing.leads,$,from cockpit_targets.cost_per_lead_target,,"Sensitive to UTM-attribution-pre-2026-03-30 reliability boundary.",live,TBD,
marketing.roas,True ROAS,marketing,KPI,derived,"Payment-verified cash from paid leads divided by Meta ad spend.",NULL,NULL,sum(leads.is_paid AND leads.cash_collected) / marketing.spend,x,from cockpit_targets.roas_target (default 4),,"Only includes paid-traffic leads. Direct + organic excluded by design.",live,TBD,Definition matches /cockpit/settings METRIC_DEFS:roas.
marketing.cost_per_call,Cost Per Call,marketing,KPI,derived,"Ad spend divided by calls booked from paid leads.",NULL,NULL,marketing.spend / count(leads where is_paid=true AND booked=true),$,from cockpit_targets.cost_per_call_target,,"Excludes calls from organic / direct.",live,TBD,Definition matches /cockpit/settings METRIC_DEFS:cost_per_call.
marketing.spend_target,Ad Spend Target,marketing,Pacing,base,"Monthly ad spend budget set in /cockpit/settings.",cockpit_targets,(year+month),,$,9000 (current default),,Hand-entered each month in /cockpit/settings.,live,TBD,
marketing.leads_target,Leads Target,marketing,Pacing,derived,"Implied leads target — last month's leads OR 3-month average if no explicit target.",NULL,NULL,lastMonth.leads OR avg3mo.leads,#,from prior-period actuals (no explicit target field),,"Pacing baseline currently derived from history not from a hand-set target.",live,TBD,
marketing.booked_target,Booked Target,marketing,Pacing,derived,"Implied booked target — last month's booked OR 3-month average.",NULL,NULL,lastMonth.booked OR avg3mo.booked,#,from prior-period actuals,,"Same pattern as leads_target — no explicit target field.",live,TBD,
marketing.qualified_target,Qualified Target,marketing,Pacing,derived,"Implied qualified target — last month's qualified OR 3-month average.",NULL,NULL,lastMonth.qualified OR avg3mo.qualified,#,from prior-period actuals,,Same pattern.,live,TBD,
marketing.per_campaign_breakdown,Per-Campaign Breakdown,marketing,Breakdown,view,"Spend / leads / booked / closed / cash grouped by ad campaign_name.",ad_snapshots,snapshot_date,GROUP BY campaign_name,#,N/A,,"Campaign-name based; if campaigns are renamed mid-period the rows split.",live,TBD,
marketing.per_ad_breakdown,Per-Ad Breakdown,marketing,Breakdown,view,"Spend / leads / booked / closed / cash grouped by ad_id within campaign.",ad_snapshots,snapshot_date,GROUP BY ad_id,#,N/A,,Same campaign rename concern.,live,TBD,
marketing.lead_detail_table,Lead Detail Table,marketing,Detail,view,"Row-per-lead table at the bottom — name, source, qualified/booked/closed/paid badges. Used for drill-down + qualifying.",leads,typeform_submitted_at,(funnelFilter applied),N/A,N/A,,"Currently the table that hits the 1000-row Supabase cap. Phase 2 fixes via paginateAll().",live,TBD,
