from_kanban,from_stage,to_kanban,to_stage,trigger,side_effects,notes
setter,NEW (unclaimed),setter,WARM/HOT/etc,Setter drags card from NEW column to pipeline column,POST /api/setter/kanban {claim:true} → upserts setter_leads + lead_pipeline (owner_role=setter),Lead moves from global pool to setter's pipeline; no Slack/CAPI at claim time
setter,CALL_BOOKED or CONFIRMED,closer,calendar (booked lead),Setter moves lead to CALL_BOOKED or CONFIRMED stage,"PATCH /api/setter/kanban → CAPI fireCapiEvent(tier=green/qual) + updateMetaLeadStatus(qualified) — NO direct push to closer kanban",Closer kanban reads from leads table (booked=true showed=false) via /api/sales/pipeline-view. Handover is implicit via DB state not a push event.
setter,DEPOSIT_CLOSED,closer (win),Setter moves to DEPOSIT_CLOSED (won outcome),PATCH /api/setter/kanban — no extra side effects fired from this specific stage move,DB stage stored as WON via toUnifiedStage(); leads.closed not updated by setter kanban PATCH — that happens via /api/closer/outcome
setter,LOST,—,terminal,Setter drags to LOST drop zone,PATCH /api/setter/kanban — no side effects,Stored as LOST_NO_FU in unified stage
setter,any booking stage (CALL_BOOKED / SELF_BOOKED / SELF_BOOKED_CONFIRMED / BOOKED_AFTER_DIAL),Meta CAPI,—,Stage move matching BOOKING_STAGES set fires CAPI,"fireCapiEvent({tier:green}) + updateMetaLeadStatus(qualified) + Overseer surfaces failure on error","Only fires when lead has meta_leadgen_id; CAPI event source=setter_kanban_qualify"
dialer,NEW (CSV import),dialer,CALLED_NO_ANSWER (or other kanban stage),Dialer drags from NEW column to pipeline column,POST /api/dialer/kanban {claim:true} → upserts setter_leads (owner_role dialer) + lead_pipeline (owner_role=dialer),Coaching-client check runs before claim (Stripe + Fanbasis payment cross-ref). No Slack/CAPI at claim time.
dialer,BOOKED,closer,booked call (KanbanPipeline calendar feed),Dialer moves lead to BOOKED stage,PATCH /api/dialer/kanban → fireCapiEvent(tier) + updateMetaLeadStatus(qualified) + leads.qualified=true + Slack update on META_LEADS_CHANNEL (auto-resolves action buttons if slack_message_ts exists),Slack update modifies the original Meta lead card message in #meta-leads-channel. Closer sees lead via /api/sales/pipeline-view (booked=true showed=false).
dialer,BOOKED,closer,FU_IMMEDIATE (read-only dialer column),Closer logs no-close outcome → /api/closer/followup-pipeline POST,Closer creates entry in lead_pipeline (owner_role=closer stage=FU_IMMEDIATE). Dialer sees it in their READONLY FU_IMMEDIATE column.,Dialer's FU_IMMEDIATE column is read-only (rendered as ReadOnlyStageColumn at 0.62 opacity). Populated by owner_role=closer entries displayed on dialer board.
dialer,WON,—,terminal,Dialer drags to WON outcome bar,PATCH /api/dialer/kanban → fireCapiEvent(tier) for WON stage,No Slack post from dialer WON — that fires from /api/closer/outcome (closed=true) or Stripe/Fanbasis webhooks
dialer,CANCEL_NO_SHOW,closer,CANCELLED / NO_SHOW (closer board),No automated push,Closer reads booked+showed+closed flags from leads table via /api/sales/pipeline-view,Sync between dialer CANCEL_NO_SHOW and closer CANCELLED/NO_SHOW is state-based (leads booleans) not event-driven
closer,FU_IMMEDIATE (Hot),closer,FU_NURTURE (Nurture),Closer drags card within KanbanPipeline or clicks Move button,PATCH /api/closer/followup-pipeline/[id] {pipeline_stage:nurture} → updates lead_pipeline stage to FU_NURTURE,No Slack/CAPI. Stored in sales_followup_pipeline (queried via /api/closer/followup-pipeline GET) and lead_pipeline.
closer,CANCELLED / NO_SHOW,closer,FU_IMMEDIATE or FU_NURTURE,Closer drags a recovery card to a FU column,POST /api/closer/followup-pipeline {source:recovery_drag} → creates new lead_pipeline entry,Drag from read-only recovery column creates a new closer pipeline entry
closer,call outcome (showed + closed=true),—,WON,Closer submits outcome via OutcomeForm / /api/closer/outcome,POST /api/closer/outcome → upserts closer_eod_entries + updates leads (booked/showed/closed booleans) + GHL reflection (reflectLeadStage) + immediate Slack post to #sales-calls-closed (Win Bot) if closed=true + Overseer surfaces failure on error,Win Bot replaces legacy Zapier; posts to SALES_CLOSED_CHANNEL C01LB5ELZUH
closer,call outcome (showed + closed=false + follow_up_type set),closer,FU_IMMEDIATE or FU_NURTURE,Closer logs no-close outcome with follow_up_type,POST /api/closer/outcome → records eod entry; if follow_up_type set creates entry in lead_pipeline for follow-up,Drives population of KanbanPipeline FU columns
