component_concept,setter_impl,closer_impl,dialer_impl,shared,consolidation_opportunity,notes
DnD context provider,KanbanProvider (@dnd-kit/react DragDropProvider),Native HTML5 drag (dataTransfer API — no @dnd-kit),KanbanProvider (@dnd-kit/react DragDropProvider),KanbanProvider only in setter + dialer,"CRITICAL DIVERGENCE: closer uses a completely different DnD system (HTML5 vs @dnd-kit). Closer should migrate to KanbanProvider + useKanbanDnD.",Closer has no SortableCard/DroppableColumn — cards are plain <div draggable>
DnD hook / logic,useKanbanDnD (lib/kanban/useKanbanDnD.ts),Custom inline handleDragStart/handleDragOver/handleDrop inside KanbanPipeline.tsx,useKanbanDnD (lib/kanban/useKanbanDnD.ts),useKanbanDnD shared by setter + dialer,"Closer should adopt useKanbanDnD — all the optimistic-update logic (mutationVersionRef / column reconciliation) is duplicated manually in KanbanPipeline.tsx",Closer DnD stores payload as JSON in dataTransfer; setter+dialer use @dnd-kit sensor events
Sortable card wrapper,SortableCard (components/shared/kanban/SortableCard.tsx),Plain <div draggable>,SortableCard,SortableCard shared by setter + dialer,Closer should use SortableCard; currently non-sortable within a column,Closer cannot reorder within a lane — setter + dialer both support intra-column sort via SortableCard
Droppable column,DroppableColumn (components/shared/kanban/DroppableColumn.tsx),Plain <div> with onDragEnter/Leave/Over/Drop handlers,DroppableColumn,DroppableColumn shared by setter + dialer,Closer's DroppableColumn equivalent is 30+ lines of inline handler logic per column. Replace with DroppableColumn.,Closer tracks dragCounters ref manually; DroppableColumn handles this internally
NEW lead column,NewLeadsColumn (inline in SetterKanban.tsx),None — no NEW column concept,NewLeadsColumn (inline in DialerKanban.tsx),None (separate implementations),"These two NewLeadsColumn components are structurally identical (header/filter/pagination/DraggableNewCard list) but diverge in source filter options (typeform/meta/manychat vs lb90/partial/meta_ads) and filter UI richness. Extract shared NewLeadsColumn primitive.",Dialer has richer filter panel (date presets + channel multi-select + sort). Setter has simpler source tabs + add-form. Could share the column shell + pagination.
DraggableNewCard,DraggableNewCard (components/shared/kanban/DraggableNewCard.tsx),N/A,DraggableNewCard,DraggableNewCard shared by setter + dialer,Good — already shared,
KanbanDragOverlay,KanbanDragOverlay (components/shared/kanban/KanbanDragOverlay.tsx),None,KanbanDragOverlay,Shared by setter + dialer,Closer has no drag overlay — card ghost is default browser behavior. Should use KanbanDragOverlay for visual consistency.,
Lead card (card body),UnifiedLeadCard (components/shared/UnifiedLeadCard.tsx),UnifiedLeadCard,UnifiedLeadCard,Fully shared,Excellent — all three kanbans use the same card component. Role prop drives conditional rendering.,role=setter | closer | dialer switches InfoEmojis vs ContactChannels and activity badge logic
Card collapsed layout,CardHeader + Row1 + Row2 inside UnifiedLeadCard,Same (via role),Same (via role),Shared via UnifiedLeadCard + lead-card-primitives.tsx,Already consolidated,
Card expanded layout,CardExpanded inside UnifiedLeadCard,Same (via role),Same (via role),Shared,Already consolidated,
