metric_id,label,cockpit,section,kind,definition,source_table,timestamp_column,filter,unit,target,differs_from,weakness,status,computed_in,notes
ceo.* (all),"All /ceo metrics",ceo,DEPRECATED,N/A,"Every metric rendered on /ceo. Page has zero inbound href references across codebase. Last commit was Codex migration only. PlaceholderCard sections shipped broken.",N/A,N/A,N/A,N/A,N/A,,,nuke,N/A,Phase 5 deletion candidate. Verify no Nova/cron consumer before delete.
cro.* (all),"All /cro metrics",cro,DEPRECATED,N/A,"Every metric on /cro. Same as /ceo — zero inbound refs, broken PlaceholderCard stubs with hardcoded 'CONVERTKIT_API_KEY not set' messages.",N/A,N/A,N/A,N/A,N/A,,,nuke,N/A,Phase 5 deletion candidate.
dashboard.* (legacy),"Legacy /dashboard metrics",legacy-dashboard,DEPRECATED,N/A,"Old leadership dashboard metrics. Still in leadership nav. Reads metric_definitions via /api/dashboard. Requires per-route audit before delete — Phase 5 conditional.",metric_definitions,N/A,N/A,N/A,N/A,,"Active reader of metric_definitions — confirm no live consumer before Phase 5 delete.",audit-required,N/A,
hq.* (cockpit),"/hq cockpit metrics",hq-cockpit,DEPRECATED-or-KEEP,N/A,"Predecessor /hq cockpit — superseded by /cockpit/{marketing,sales} but reads metric_snapshots. metric_snapshots cron is load-bearing for other consumers (Morning Prep, scorecard, hub, Nova). KEEP cron; decide on surface separately.",metric_snapshots,N/A,N/A,N/A,N/A,,"Surface may be dead but data plane is alive. Per-route audit before delete.",audit-required,N/A,
ccc.* (cockpit),"/ccc cockpit metrics",ccc-cockpit,DEPRECATED-or-KEEP,N/A,"Codex Cockpit Console (ccc). Recent commits mechanical-only (Codex migration). Verify Emil usage before delete.",N/A,N/A,N/A,N/A,N/A,,"Emil to confirm usage.",audit-required,N/A,
sales.legacy_page,Legacy /sales page,legacy-sales,DEPRECATED,N/A,"Old /sales page (pre-cockpit). In nav. Last commit was design-token refactor only.",N/A,N/A,N/A,N/A,N/A,,Likely superseded by /cockpit/sales.,audit-required,N/A,Phase 5 candidate.
marketing.legacy_page,Legacy /marketing page,legacy-marketing,DEPRECATED,N/A,"Old /marketing page (pre-cockpit). In nav. Last commit was design-token refactor only.",N/A,N/A,N/A,N/A,N/A,,Likely superseded by /cockpit/marketing.,audit-required,N/A,Phase 5 candidate.
architecture.page,/architecture page,architecture,DEPRECATED,N/A,"In Tools nav. Codex-migration-only commits. Verify Emil uses occasionally before delete.",N/A,N/A,N/A,N/A,N/A,,Emil may check occasionally for maintenance.,audit-required,N/A,
knowledge.people,/knowledge/people,knowledge,DEPRECATED,N/A,"No nav entry, no inbound hrefs anywhere.",N/A,N/A,N/A,N/A,N/A,,,nuke,N/A,Phase 5 candidate.
api.closers,/api/closers (route),api-deprecated,DEPRECATED,N/A,"Registry-flagged 'deprecated'. Superseded by /api/sales/closers.",N/A,N/A,N/A,N/A,N/A,,,nuke,N/A,Phase 5 candidate.
metric_snapshots.cron,metric-snapshots cron,backend,KEEP,N/A,"Feeds Morning Prep, scorecard, hub key-metrics, daily-summary, ccc/unified, scorecard/ai, AND Nova. LOAD-BEARING.",NULL,NULL,NULL,N/A,N/A,,,KEEP,N/A,"DO NOT NUKE — only the /ceo /cro surfaces consuming it are dead. Cron stays."
metric_definitions.table,metric_definitions Supabase table,backend,KEEP,N/A,"Canonical metric registry per CLAUDE.md. Read by Nova vocabulary + /api/ceo + metric-snapshots cron + /api/dashboard + /api/metric-definitions + lib/nova-context.ts + lib/nova-engine.ts.",NULL,NULL,NULL,N/A,N/A,,,KEEP,N/A,"DO NOT NUKE — Nova vocabulary depends on it. Cockpit dictionary EXTENDS this, doesn't replace."
lib.metric_sources,lib/metric-sources.ts,backend,KEEP,N/A,"Severity-critical per architecture-rules.json. Single dispatch point for /api/ceo + metric-snapshots cron. Feeds 10+ live consumers.",NULL,NULL,NULL,N/A,N/A,,,KEEP,N/A,"DO NOT NUKE."
